indicator,indicator_code,location,location_code,period,value,value_numeric,value_ci,sex,residence,wealth_quintile
Number of under-five deaths,CM_01,Kenya,KEN,1958,78841,78 841,[72 193-86 323],Both sexes,Rural,Total
"Mean Non-HDL cholesterol, crude",NCD_CHOL_MEANNONHDL_C,Kenya,KEN,2017,2.7,2.7,[2.5-2.9],Male,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2003,7.1,7.1,[4.0-12.2],Female,Total,Total
"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",SDGAIRBODA,Kenya,KEN,2011,175.312,175,[151-200],Male,Urban,Total
Population with primary reliance on clean fuels and technologies for cooking (in millions),PHE_HHAIR_POP_CLEAN_FUELS,Kenya,KEN,2020,12.03609549,12.04,[5.95 - 19.79],Total,Total,Total
Tobacco Offer help: O1 Support for treatment of tobacco dependence / Availability of smoking cessation support,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,Kenya,KEN,2012,,Yes in some,,Available in offices of health professionals,Total,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,1997,113.2831105,113.3,[105.7-121.3],Male,Urban,Total
Life expectancy at birth (years),WHOSIS_000001,Kenya,KEN,2014,66.14180191,66.1,[65.5-66.9],Female,Rural,Total
Joint effects of air pollution attributable deaths,AIR_35,Kenya,KEN,2013,5875.621,5876,[4879-6692],Female,Total,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2005,5.3,5.3,[4.1-6.9],Female,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2000,2.5,2.5,[1.7-3.8],Female,Urban,Total
Estimate of current cigarette smoking prevalence (%),M_Est_cig_curr,Kenya,KEN,2005,10.3,10.3,[8.3-12.3],Both sexes,Total,Total
"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",AIR_90,Kenya,KEN,2017,187.642,188,[103-260],Female,Total,Total
"Stunting numbers among children under 5 years of age (millions), model-based estimates",NUTSTUNTINGNUM,Kenya,KEN,2014,843.1,843.1,[803.1-890.3],Female,Urban,Total
"Mean total cholesterol,  crude",NCD_CHOL_MEANTOTALCHOL_C,Kenya,KEN,2006,3.7,3.7,[3.4-4.1],Male,Rural,Total
Care-seeking by type of patient and source of care (%),CARE_SOURCE,Kenya,KEN,2014,79.03,79.03,,Q2,Total,Total
Household air pollution attributable deaths,AIR_11,Kenya,KEN,2018,1101.906,1102,[696-1782],Male,Total,Total
"Diabetes treatment coverage, age-standardized",NCD_DIABETES_TREATMENT_AGESTD,Kenya,KEN,1999,18.713516,18.7,[9.9-30.1],Both sexes,Urban,Total
"Mean Non-HDL cholesterol, age-standardized",NCD_CHOL_MEANNONHDL_A,Kenya,KEN,1992,2.4,2.4,[2.1-2.8],Male,Total,Total
Neonatal mortality rate (per 1000 live births),WHOSIS_000003,Kenya,KEN,2009,23.69256335,23.7,[21.5-26.2],Both sexes,Total,Total
Tobacco Warning: W1a cigarette packaging health warnings,TOBACCO_MPOWER_W1A_CIGARETTES,Kenya,KEN,2016,30,30,,Percentage of principal display area mandated to be covered by health warnings - front of cigarette packaging,Urban,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2003,2.1,2.1,[0.8-6.0],Higher education,Rural,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2023,,Yes,,Country capacity targets,Total,Total
Population with primary reliance on clean fuels and technologies for cooking (in millions),PHE_HHAIR_POP_CLEAN_FUELS,Kenya,KEN,2019,6.45068947,6.45,[3.42 - 9.56],Urban,Total,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",NCD_BMI_25A,Kenya,KEN,2006,28.531429,28.5,[26.3-30.8],Female,Urban,Total
Total NCD Deaths,NCD_DTH_TOT,Kenya,KEN,2002,24589,24 600,[15 400-39 400],Male,Total,Total
"Average daily intake in grams of alcohol, population (15+)",SA_0000001845,Kenya,KEN,2017,6.182307485,6.2,[2.9 - 9.9],Both sexes,Total,Total
Exclusively breastfed for the first two days after birth,NUT_BF_EBF2D,Kenya,KEN,2003,42.3,42.3,[32.2-53.0],Higher education,Urban,Total
Minimum Acceptable Diet 6-23 months,NUT_CF_MAD,Kenya,KEN,2014,22.6,22.6,[18.2-27.7],12 to 15 months,Rural,Total
"Diabetes treatment coverage, age-standardized",NCD_DIABETES_TREATMENT_AGESTD,Kenya,KEN,2014,23.947313,23.9,[13.5-36.4],Female,Total,Total
"Household air pollution attributable DALYs (per 100 000, age-standardized)",AIR_39,Kenya,KEN,2016,420.267,420,[276-664],Male,Total,Total
Number of under-five deaths,CM_01,Kenya,KEN,2021,26944,26 944,[23 450-30 974],Female,Urban,Total
"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized",SA_0000001739,Kenya,KEN,2000,12.4335649,12.4,[11.6 - 13.2],Both sexes,Total,Total
Cases started on MDR-TB treatment,TB_c_mdr_tx,Kenya,KEN,2019,686,686,,,Total,Total
"Number of incident tuberculosis cases,  (HIV-positive cases)",TB_e_inc_tbhiv_num,Kenya,KEN,2009,101000,101 000,[29 000-216 000],,Urban,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1964,3.45,3.45,,All types,Rural,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2000,9.8,9.8,[8.2-11.6],6 to 23 months,Total,Total
Age-standardized suicide rates (per 100 000 population),MH_12,Kenya,KEN,2005,17.38391952,17.4,[13.3-25.9],Male,Total,Total
"Prevalence of diabetes, crude",NCD_DIABETES_PREVALENCE_CRUDE,Kenya,KEN,2016,3.7641745,3.8,[2.4-5.4],Both sexes,Urban,Total
Educational attainment in prevention,RSUD_760,Kenya,KEN,2014,,No data,,Short-cycle tertiary education,Total,Total
Crude suicide rates (per 100 000 population),SDGSUICIDE,Kenya,KEN,2010,8.06168829,8.1,[6.4-11.0],Male,Total,Total
"Prevalence of diabetes, age-standardized",NCD_DIABETES_PREVALENCE_AGESTD,Kenya,KEN,2004,6.0459588,6.0,[2.6-11.2],Female,Urban,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2000,49.3,49.3,[44.4-54.1],Male,Rural,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2021,,No,,Surveillance,Total,Total
Proportion of population with primary reliance on clean fuels and technologies for cooking (%),PHE_HHAIR_PROP_POP_CLEAN_FUELS,Kenya,KEN,2016,14.2,14.2,[6.2-26.0],Total,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2003,5.8,5.8,[5.1-6.6],Both sexes,Urban,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2013,0.1,0.1,[0 - 1.4],Urban,Total,Total
Stillbirth rate (per 1000 total births),WHOSIS_000014,Kenya,KEN,2010,18.65083176,18.7,[15.0-23.2],Both sexes,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2022,20,20.0,[17.5-22.8],Male,Urban,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2005,1.6287405,1.6,[0.8-3.1],Both sexes,Rural,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2005,2.6,2.6,[1.3-5.1],Male,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,1998,8.7,8.7,[3.7 - 16.4],Total,Total,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,1996,0.423014754,0.42,[0.02 - 1.51],Rural,Urban,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",NUTSTUNTINGPREV,Kenya,KEN,2016,24.3,24.3,[23.0-25.5],Both sexes,Total,Total
Egg and/or Flesh Food Consumption 6-23 months,NUT_CF_EFF,Kenya,KEN,2014,38.6,38.6,[33.4-44.1],12 to 15 months,Total,Total
"Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",FINPROTECTION_IMP_PRELPL_POP,Kenya,KEN,2005,18.02,18.02,,Female,Urban,Total
Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for treatment of substance use disorders,RSUD_150,Kenya,KEN,2014,,Yes,,Representatives of people who use drugs,Rural,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2011,6,6,,Total (All ages),Total,Total
"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",NCD_BMI_30C,Kenya,KEN,2006,4.853097,4.9,[4.2-5.6],Both sexes,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,1998,35,35.0,[31.0-39.3],Q3,Urban,Total
Previously treated cases tested for RR-/MDR-TB (%),TB_c_dst_rlt_ret_pct,Kenya,KEN,2014,85,85,,,Total,Total
Number of under-five deaths,CM_01,Kenya,KEN,1998,26302,26 302,[23 747-29 131],Both sexes,Total,Total
Estimate of current tobacco smoking prevalence (%) (age-standardized rate),M_Est_smk_curr_std,Kenya,KEN,2020,0.9,0.9,[0.5-1.2],Female,Urban,Total
Treatment success rate: previously treated TB cases,TB_c_ret_tsr,Kenya,KEN,2023,78,78,,,Rural,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2014,11.2,11.2,[10.5-12.0],Both sexes,Total,Total
"Prevalence of diabetes, age-standardized",NCD_DIABETES_PREVALENCE_AGESTD,Kenya,KEN,2008,5.9872553,6.0,[2.8-10.5],Male,Total,Total
"Household air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_52,Kenya,KEN,2018,38.338,38,[29-45],Female,Urban,Total
Tobacco MPOWER: National tobacco control programmes (NTCP),TOBACCO_MPOWER_NTCP,Kenya,KEN,2024,,Yes,,Government objectives on tobacco control exist,Total,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,1994,0.59117274,0.6,[0.2-1.3],Female,Total,Total
Number of suspected malaria cases,MALARIA_SUSPECTS,Kenya,KEN,2020,14060361,14 060 361,,,Urban,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2000,6.3,6.3,[3.3-11.4],Female,Rural,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2014,11194.78097,11 195,,Both sexes,Total,Total
"Mean total cholesterol,  crude",NCD_CHOL_MEANTOTALCHOL_C,Kenya,KEN,1998,3.7,3.7,[3.3-4.1],Male,Total,Total
"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS1C,Kenya,KEN,1996,2.2036044,2.2,[0.8-4.5],Male,Urban,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,1973,145.9548395,146.0,[136.1-156.7],Male,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,1994,44.7,44.7,[42.4-47.1],Male,Total,Total
Crude suicide rates (per 100 000 population),SDGSUICIDE,Kenya,KEN,2021,101.1994324,101.2,,Male,Urban,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",NCD_BMI_25C,Kenya,KEN,2019,17.621799,17.6,[15.5-19.8],Male,Rural,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2014,3.2,3.2,[2.4-4.3],54 to 59 months,Total,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",NCD_BMI_25C,Kenya,KEN,1999,14.034581,14.0,[12.4-15.9],Both sexes,Total,Total
"Population pushed further below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban)",FINPROTECTION_IMP_P215_POP,Kenya,KEN,2005,7.79,7.79,,Adults with older persons,Urban,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,1990,95.8,95.8,[85.4 - 99.6],Rural,Total,Total
"Tobacco MPOWER overview: Monitor, Protect people, Offer help, Warn of dangers, Enforce bans, Raise taxes",TOBACCO_MPOWER_OVERVIEW,Kenya,KEN,2022,2,2,,Monitor tobacco use and prevention policies,Total,Total
Tobacco MPOWER: National tobacco control programmes (NTCP),TOBACCO_MPOWER_NTCP,Kenya,KEN,2012,2,2,,Number of full-time equivalent staff in national agency,Urban,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2000,8.6,8.6,[6.1-11.9],12 to 17 months,Rural,Total
Number of deaths among children 5 to 14 years of age,CHILDDEATH5TO14,Kenya,KEN,1993,13210,13 210,[11 469-15 495],Both sexes,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2003,25.7,25.7,[22.4-29.3],Q1 (Poorest),Total,Total
Number of under-five deaths,CM_01,Kenya,KEN,1979,43152,43 152,[40 283-46 069],Male,Urban,Total
Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),MDG_0000000001,Kenya,KEN,1994,65.19928427,65.2,[60.8-70.1],Female,Total,Total
"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS1C,Kenya,KEN,2004,3.5829388,3.6,[1.8-6.3],Male,Total,Total
"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",SA_0000001400,Kenya,KEN,1992,1.32,1.32,,Beer,Urban,Total
Minimum Acceptable Diet 6-23 months,NUT_CF_MAD,Kenya,KEN,2014,7.7,7.7,[5.1-11.4],None,Rural,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2008,34.4,34.4,[30.2-38.8],Q3,Total,Total
"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",SDGAIRBODA,Kenya,KEN,2018,59.398,59,[48-69],Male,Total,Total
Tuberculosis treatment coverage,TB_1,Kenya,KEN,2007,45,45,[20-180],,Urban,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,1969,146.2895516,146.3,[136.2-157.3],Female,Total,Total
Number of deaths among children ages 5 to 9 years,CM_04,Kenya,KEN,2001,4555,4555,[3980-5205],Female,Total,Total
Prevalence of anaemia in children aged 6-59 months (%),NUTRITION_ANAEMIA_CHILDREN_PREV,Kenya,KEN,2012,16.8,16.8,[11.7-22.8],Moderate,Urban,Total
Ambient air pollution attributable deaths,AIR_41,Kenya,KEN,2012,1406.231,1406,[479-2567],Male,Rural,Total
Household and ambient air pollution attributable DALYs,AIR_60,Kenya,KEN,2012,8038.924,8039,[6722-9213],Both sexes,Total,Total
Minimum Acceptable Diet 6-23 months,NUT_CF_MAD,Kenya,KEN,2014,14.6,14.6,[12.7-16.6],Wealth - Bottom 60%,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2016,1.3,1.3,[0.2 - 3.7],Rural,Urban,Total
Estimate of current cigarette smoking prevalence (%) (age-standardized rate),M_Est_cig_curr_std,Kenya,KEN,2030,5.8,5.8,[3.8-7.8],Both sexes,Total,Total
Five years change in international cooperation for treatment of substance use disorders,RSUD_190,Kenya,KEN,2014,,Slight increase,,Drugs,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2003,245.59547,245.6,,Both sexes,Urban,Total
Tobacco Offer help: O1 Support for treatment of tobacco dependence / Availability of smoking cessation support,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,Kenya,KEN,2010,,No,,Cost-covered in health clinics or other primary care facilities,Rural,Total
"Tobacco Warning: W2a cigarette packaging health warnings, other characteristics",TOBACCO_MPOWER_W2A_CIGARETTES,Kenya,KEN,2010,,No,,Plain packaging of cigarettes is mandatory,Total,Total
"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_42,Kenya,KEN,2011,1.819,2,[0-4],Female,Total,Total
Prevalence of anaemia in children aged 6-59 months (%),NUTRITION_ANAEMIA_CHILDREN_PREV,Kenya,KEN,2014,1.4,1.4,[0.8-2.3],Severe,Urban,Total
Household air pollution attributable DALYs,AIR_15,Kenya,KEN,2010,29758.713,29 759,[19 543-46 587],Male,Total,Total
Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%),GHED_GGHE-DCHE_SHA2011,Kenya,KEN,2011,30.8654747,30.87,,,Total,Total
"Mean HDL cholesterol, crude",NCD_CHOL_MEANHDL_C,Kenya,KEN,1986,1.1,1.1,[0.9-1.4],Female,Urban,Total
Number of deaths among adolescents (10 to 19 years of age),DEATHADO,Kenya,KEN,2018,2075,2075,[715-3767],Male,Rural,Total
Number of deaths among children ages 5 to 9 years,CM_04,Kenya,KEN,2009,7553,7553,[6481-8778],Both sexes,Total,Total
"Mean total cholesterol,  age-standardized",NCD_CHOL_MEANTOTALCHOL_A,Kenya,KEN,2009,4.1,4.1,[3.7-4.4],Female,Total,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2012,,Yes,,Smokeless tobacco packaging/labelling must not use figurative or other signs for prohibited misleading terms and descriptors,Urban,Total
Tobacco Warning: W1b smoked tobacco packaging health warnings,TOBACCO_MPOWER_W1B_TOBACCOSMOKED,Kenya,KEN,2012,,No,,"Health warnings on other smoked tobacco packaging must not be obscured in any way including by required markings, e.g., tax stamps",Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2022,0.5,0.5,[0.2-1.2],Female,Total,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2004,0.096165671,0.1,[0.01 - 0.32],Urban,Urban,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2018,0,0,,Both sexes,Rural,Total
"Prevalence of diabetes, age-standardized",NCD_DIABETES_PREVALENCE_AGESTD,Kenya,KEN,1998,4.3621115,4.4,[1.6-8.9],Male,Total,Total
"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",AIR_62,Kenya,KEN,2015,3640.468,3640,[3129-4130],Both sexes,Total,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",NCD_BMI_25C,Kenya,KEN,1993,10.877559,10.9,[9.2-12.8],Both sexes,Urban,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2016,3.5,3.5,[1 - 8.2],Rural,Total,Total
UHC Service Coverage sub-index on service capacity and access,UHC_SCI_CAPACITY,Kenya,KEN,2005,36,36,,,Total,Total
Beverage price,TAXBEV_PRICE,Kenya,KEN,2022,38.5,KES 38.5,,Non-alcoholic,Urban,Total
Population with primary reliance on polluting fuels and technologies for cooking (in millions),PHE_HHAIR_POP_POLLUTING_FUELS,Kenya,KEN,2020,40.18123851,40.18,[32.43 - 46.26],Total,Rural,Total
"Tobacco MPOWER overview: Monitor, Protect people, Offer help, Warn of dangers, Enforce bans, Raise taxes",TOBACCO_MPOWER_OVERVIEW,Kenya,KEN,2022,5,5,,Enforce bans on tobacco advertising,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2008,1.2,1.2,[0.7-2.1],36 to 47 months,Total,Total
Exclusive breastfeeding under six months,NUT_BF_EBF,Kenya,KEN,2000,12.3,12.3,[6.9-20.8],Q1 (Poorest),Urban,Total
"Mean HDL cholesterol, crude",NCD_CHOL_MEANHDL_C,Kenya,KEN,1981,1.1,1.1,[0.8-1.4],Male,Total,Total
"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",NCD_BMI_18C,Kenya,KEN,2001,11.132542,11.1,[9.3-13.1],Female,Total,Total
"Tobacco MPOWER Protect people: P2 smoke-free places, additional characteristics",TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,Kenya,KEN,2014,,—,,Fines on the patrons of establishments for violations of smoke-free laws,Urban,Total
Tobacco Offer help: O1 Support for treatment of tobacco dependence / Availability of smoking cessation support,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,Kenya,KEN,2010,,Yes in some,,Available in health clinics or other primary care facilities,Rural,Total
Exclusively breastfed for the first two days after birth,NUT_BF_EBF2D,Kenya,KEN,2008,64.1,64.1,[55.1-72.3],Urban,Total,Total
"Average daily intake in grams of alcohol, population (15+)",SA_0000001845,Kenya,KEN,2012,5.978757112,6.0,[2.7 - 9.6],Both sexes,Total,Total
Tobacco Warning: W1a cigarette packaging health warnings,TOBACCO_MPOWER_W1A_CIGARETTES,Kenya,KEN,2022,,Yes,,Health warnings on cigarette packaging must be written in the principal language(s) of the country,Urban,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,1994,44.1,44.1,[40.1-48.3],24 to 29 months,Total,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2022,,Yes,,"Smokeless tobacco packaging and labelling must not display quantitative information on emission yields (such as tar nicotine, CO)",Total,Total
Tobacco Offer help: O1 Support for treatment of tobacco dependence / Availability of smoking cessation support,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,Kenya,KEN,2018,,Yes,,Access to a toll-free quit line,Urban,Total
Population using at least basic sanitation services (%),WSH_SANITATION_BASIC,Kenya,KEN,2021,34.82574,35,,Rural,Rural,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,2008,4.659307286,4.7,[2.3-7.2],Male,Total,Total
Tobacco Raise taxes: Tobacco tax structure,TOBACCO_MPOWER_R_TAXSTRUCTURE,Kenya,KEN,2024,,No,,Uniform excise tax,Total,Total
"Tobacco Enforce bans: E3 indirect advertising, additional bans",TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,Kenya,KEN,2012,,No,,"Subnational bans on tobacco advertising, promotion and sponsorship authority exists",Urban,Total
Household air pollution attributable DALYs,AIR_15,Kenya,KEN,2010,59087.733,59 088,[37 066-89 043],Male,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2000,6.5,6.5,[5.3-7.8],Male,Total,Total
"Household air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_52,Kenya,KEN,2012,19.436,19,[13-30],Male,Urban,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,1999,22.00683151,22.01,[20.0 - 23.25],Rural,Rural,Total
Incidence of tuberculosis (per 100 000 population per year),MDG_0000000020,Kenya,KEN,2022,238,238,[136-375],,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2014,4,4.0,[3.2-4.9],Q3,Total,Total
Total number of  malaria cases (presumed + confirmed cases),MALARIA_TOTAL_CASES,Kenya,KEN,2018,10875734,10 875 734,,,Urban,Total
Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),GHED_OOPSCHE_SHA2011,Kenya,KEN,2020,23.33247375,23.33,,,Total,Total
Ambient air pollution attributable DALYs,AIR_7,Kenya,KEN,2013,17895.885,17 896,[6601-31 316],Male,Total,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,1994,13.725936,13.7,[9.1-19.0],Both sexes,Urban,Total
Healthy life expectancy (HALE) at age 60 (years),WHOSIS_000007,Kenya,KEN,2016,13.83444398,13.8,[13.2-14.5],Female,Rural,Total
"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_42,Kenya,KEN,2017,0.134,0,[0-0],Female,Total,Total
"Alcohol, abstainers past 12 months (%), age-standardized",SA_0000001411,Kenya,KEN,2001,79.9298547,79.9,[77.5 - 82.4],Female,Total,Total
"Mean HDL cholesterol, crude",NCD_CHOL_MEANHDL_C,Kenya,KEN,2018,1.2,1.2,[1.0-1.3],Female,Urban,Total
Concentrations of fine particulate matter (PM2.5),SDGPM25,Kenya,KEN,2018,12.58012,12.58,[7.84-17.89],Total,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2010,5.0465,5,,0-4 years of age,Total,Total
"Household air pollution attributable DALYs (per 100 000, age-standardized)",AIR_39,Kenya,KEN,2014,316.823,317,[223-474],Female,Urban,Total
Number of under-five deaths,CM_01,Kenya,KEN,1991,17306,17 306,[15 331-19 459],Both sexes,Rural,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2004,12.35025,12.4,,0-4 years of age,Total,Total
Household air pollution attributable DALYs,AIR_15,Kenya,KEN,2010,784002.351,784 002,[625 880-908 783],Both sexes,Total,Total
Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),CHILDMORT5TO14,Kenya,KEN,1996,17.04700794,17.0,[14.4-20.6],Both sexes,Urban,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,2012,47.85747879,47.9,[42.3-54.2],Both sexes,Total,Total
Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),CHILDMORT5TO14,Kenya,KEN,2006,11.34686109,11.3,[9.5-13.5],Female,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2002,0,0,,0-27 days,Urban,Total
Tobacco Raise taxes: National taxes for tobacco and nicotine products,TOBACCO_MPOWER_R_TAX,Kenya,KEN,2024,,. . .,,Taxes as a % of price: value added tax,Rural,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2022,18.6,18.6,[16.4-21.1],42 to 47 months,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2016,0.4234,0.4,,0-27 days,Total,Total
